,real,predicted
200,14.930000305175783,15.12611
201,14.729999542236328,15.416079
202,14.180000305175781,15.209141
203,14.359999656677248,14.783405
204,14.079999923706055,14.927857
205,13.93000030517578,14.587033
206,14.250000000000002,14.3906145
207,14.5600004196167,14.843428
208,14.449999809265137,15.0860405
209,14.59000015258789,14.889084
210,14.710000038146973,15.018445
211,14.600000381469727,15.226962
212,14.609999656677246,14.985588
213,15.170000076293945,15.022294
214,15.100000381469727,15.623079
215,14.989999771118164,15.539054
216,14.949999809265137,15.3644285
217,14.600000381469727,15.372764
218,14.720000267028809,15.038336
219,14.899999618530275,15.166177
220,14.739999771118166,15.394241
221,14.77000045776367,15.285254
222,14.869999885559082,15.218833
223,14.710000038146973,15.473193
224,14.63000011444092,15.329739
225,14.489999771118164,15.1886015
226,14.300000190734863,15.142479
227,14.270000457763672,14.981104
228,14.199999809265135,14.875573
229,14.109999656677246,14.769886
230,14.020000457763672,14.692608
231,13.8100004196167,14.627078
232,13.430000305175781,14.430099
233,13.659999847412108,13.923905
234,13.479999542236328,14.142788
235,13.859999656677246,14.085323
236,14.199999809265135,14.443322
237,13.6899995803833,14.702467
238,13.489999771118164,14.410779
239,13.529999732971191,14.194247
240,13.569999694824219,14.253158
241,13.220000267028809,14.224352
242,12.93000030517578,13.835047
243,12.979999542236326,13.635551
244,12.77000045776367,13.627848
245,12.539999961853027,13.408333
246,12.539999961853027,13.229274
247,12.90999984741211,13.177964
248,13.15999984741211,13.405068
249,13.210000038146973,13.608348
250,13.300000190734863,13.730854
251,13.199999809265135,13.780753
